,UTM,매출,장바구니 금액,지출 금액 (KRW),ROAS,광고 게재,광고 세트 예산,광고 세트 이름,주문,구매 개수,구매자,ARPPU,객단가,매출,주문,구매 개수,방문자,방문자,구매자,신규 구매자,전환률(방문-구매),장바구니 유저,장바구니 금액,장바구니 개수,전환률(방문-장바구니 담기),전환률(장바구니-구매),광고 게재,광고 세트 이름,입찰가,입찰 유형,광고 세트 예산,광고 세트 예산 유형,최근 영향이 큰 변경,기여 설정,결과,결과 표시 도구,도달,노출,결과당 비용,품질 순위,참여율 순위,전환율 순위,지출 금액 (KRW),종료,catalog_segment_value_omni_purchase_roas:omni_purchase,공유 항목의 웹사이트 구매 ROAS만,공유 항목의 모바일 앱 구매 ROAS만,,,
,my-offshoulder-11-video-jestinna-02saletagPop-240315,₩0,"₩258,642","₩1,556",0%,active,"₩30,000",오프숄더_영상_02영어_240315,0,0,0,#DIV/0!,#DIV/0!,0,0,0,10,10,0,0,0.00%,3,923.72,6,30.00%,0.00%,active,오프숄더_영상_02영어_240315,0,ABSOLUTE_OCPM,30000,일일 예산,3-14-24,클릭 후 7일 또는 조회 후 1일,,,450,483,,-,-,-,1556,진행 중,,,,,,
,my-offshoulder-18-video-jestinna-03singlePop-240315,₩0,"₩506,486","₩24,226",0%,inactive,"₩30,000",오프숄더_영상_03영어_240315,0,0,0,#DIV/0!,#DIV/0!,0,0,0,86,86,0,0,0.00%,7,"1,808.88",12,8.14%,0.00%,inactive,오프숄더_영상_03영어_240315,0,ABSOLUTE_OCPM,30000,일일 예산,3-14-24,클릭 후 7일 또는 조회 후 1일,,,5225,6836,,-,-,-,24226,진행 중,,,,,,
,my-offshoulder-28-video-jestinna-05singlePop-240315,₩0,"₩222,936","₩28,523",0%,not_delivering,"₩20,000",메인_영상_05영어_240315,0,0,0,#DIV/0!,#DIV/0!,0,0,0,46,46,0,0,0.00%,1,796.20,5,2.17%,0.00%,not_delivering,메인_영상_05영어_240315,0,ABSOLUTE_OCPM,20000,일일 예산,0,클릭 후 7일 또는 조회 후 1일,,,4147,6732,,-,-,-,28523,진행 중,0.793643,,0.793643,,,
,my-main-6-video-jestinna-05tagmy-240317,₩0,"₩750,688","₩85,808",0%,not_delivering,"₩50,000",메인_영상_05영어_240317,0,0,0,#DIV/0!,#DIV/0!,0,0,0,110,110,0,0,0.00%,9,"2,681.03",19,8.18%,0.00%,not_delivering,메인_영상_05영어_240317,0,ABSOLUTE_OCPM,50000,일일 예산,0,클릭 후 7일 또는 조회 후 1일,,,12080,21800,,-,-,-,85808,진행 중,1.709725,,1.709725,,,
,my-main-8-video-jestinna-05bagrate-240317,₩0,"₩43,529","₩14,197",0%,not_delivering,"₩50,000",메인_영상_05영어_240317,0,0,0,#DIV/0!,#DIV/0!,0,0,0,18,18,0,0,0.00%,1,155.46,1,5.56%,0.00%,not_delivering,메인_영상_05영어_240317,0,ABSOLUTE_OCPM,50000,일일 예산,0,클릭 후 7일 또는 조회 후 1일,,,2220,2929,,-,-,-,14197,진행 중,,,,,,
,my-main-9-video-jestinna-05bagspecial-240317,₩0,"₩84,414","₩18,579",0%,not_delivering,"₩50,000",메인_영상_05영어_240317,0,0,0,#DIV/0!,#DIV/0!,0,0,0,14,14,0,0,0.00%,2,301.48,2,14.29%,0.00%,not_delivering,메인_영상_05영어_240317,0,ABSOLUTE_OCPM,50000,일일 예산,0,클릭 후 7일 또는 조회 후 1일,,,2947,4313,,-,-,-,18579,진행 중,,,,,,
,my-main-10-video-jestinna-05itempopno1-240317,₩0,"₩213,788","₩43,799",0%,inactive,"₩50,000",메인_영상_05영어_240317,0,0,0,#DIV/0!,#DIV/0!,0,0,0,95,95,0,0,0.00%,4.00,763.53,5,4.21%,0.00%,inactive,메인_영상_05영어_240317,0,ABSOLUTE_OCPM,50000,일일 예산,0,클릭 후 7일 또는 조회 후 1일,,,7606,9769,,-,-,-,43799,진행 중,1.670918,,1.670918,,,
,my-offshoulder-30-video-jestinna-04saletagDangleEC-240322,₩0,"₩1,261,033","₩31,186",0%,inactive,"₩30,000",오프숄더_영상_04영중_240322,0,0,0,#DIV/0!,#DIV/0!,0,0,0,116,116,0,0,0.00%,19,"4,503.69",29,16.38%,0.00%,inactive,오프숄더_영상_04영중_240322,0,ABSOLUTE_OCPM,30000,일일 예산,3-22-24,클릭 후 7일 또는 조회 후 1일,,,6407,8929,,-,-,-,31186,진행 중,,,,,,
,my-main-12-video-jestinna-05tagmyEC-240322,₩0,₩0,"₩16,748",0%,not_delivering,"₩15,000",메인_영상_05영중_240322,0,0,0,#DIV/0!,#DIV/0!,0,0,0,19,19,0,0,0.00%,0,0.00,0,0.00%,-,not_delivering,메인_영상_05영중_240322,0,ABSOLUTE_OCPM,15000,일일 예산,0,클릭 후 7일 또는 조회 후 1일,,,2877,4808,,-,-,-,16748,진행 중,2.625503,,2.625503,,,
,my-main-13-video-jestinna-05bagspecialEC-240322,₩0,₩0,"₩14,009",0%,not_delivering,"₩15,000",메인_영상_05영중_240322,0,0,0,#DIV/0!,#DIV/0!,0,0,0,20,20,0,0,0.00%,0,0.00,0,0.00%,-,not_delivering,메인_영상_05영중_240322,0,ABSOLUTE_OCPM,15000,일일 예산,0,클릭 후 7일 또는 조회 후 1일,,,2206,3602,,-,-,-,14009,진행 중,0.673298,,0.673298,,,
,my-main-14-video-jestinna-05itempopno1EC-240322,₩0,"₩496,230","₩36,589",0%,inactive,"₩15,000",메인_영상_05영중_240322,0,0,0,#DIV/0!,#DIV/0!,0,0,0,68,68,0,0,0.00%,5,"1,772.25",10,7.35%,0.00%,inactive,메인_영상_05영중_240322,0,ABSOLUTE_OCPM,15000,일일 예산,0,클릭 후 7일 또는 조회 후 1일,,,4903,8118,,-,-,-,36589,진행 중,1.522214,,1.522214,,,
,my-main-16-video-jestinna-05bagspecialCN-240322,₩0,₩0,"₩19,796",0%,not_delivering,"₩30,000",메인_영상_05중국어_240322,0,0,0,#DIV/0!,#DIV/0!,0,0,0,19,19,0,0,0.00%,0.00,0.00,0,0.00%,-,not_delivering,메인_영상_05중국어_240322,0,ABSOLUTE_OCPM,30000,일일 예산,0,클릭 후 7일 또는 조회 후 1일,,,5413,8689,,-,-,-,19796,진행 중,,,,,,
,my-main-17-video-jestinna-05itempopno1CN-240322,₩0,"₩121,442","₩24,545",0%,not_delivering,"₩30,000",메인_영상_05중국어_240322,0,0,0,#DIV/0!,#DIV/0!,0,0,0,43,43,0,0,0.00%,2.00,433.72,3,4.65%,0.00%,not_delivering,메인_영상_05중국어_240322,0,ABSOLUTE_OCPM,30000,일일 예산,0,클릭 후 7일 또는 조회 후 1일,,,4452,7205,,-,-,-,24545,진행 중,,,,,,
,my-main-15-video-jestinna-05tagmyCN-240322,₩0,₩0,"₩21,999",0%,not_delivering,"₩30,000",메인_영상_05중국어_240322,0,0,0,#DIV/0!,#DIV/0!,0,0,0,22,22,0,0,0.00%,0.00,0.00,0,0.00%,-,not_delivering,메인_영상_05중국어_240322,0,ABSOLUTE_OCPM,30000,일일 예산,0,클릭 후 7일 또는 조회 후 1일,,,5609,9168,,-,-,-,21999,진행 중,,,,,,
